mes,ipca,ipca_anterior,inflacao_eua,var_dolar,selic_anterior,var_ibc_br
2015-02-01,1.22,1.24,0.25346436802173855,6.917449402373155,0.94,-0.646938551695897
2015-03-01,1.32,1.22,0.26939517808124425,11.4693061381268,0.82,-0.18201788484686343
2015-04-01,0.71,1.32,0.10424788961589382,-3.0660286527143255,1.04,-1.3304069774675686
2015-05-01,0.74,0.71,0.3297745341246827,0.6077444285986555,0.95,-0.678434825345875
2015-06-01,0.79,0.74,0.27679208104607333,1.6338259843942327,0.99,-0.9605400767907946
2015-07-01,0.62,0.79,0.15863197801873063,3.580165798441004,1.07,-1.169155726320792
2015-08-01,0.22,0.62,-0.000420108051790713,9.033457108182974,1.18,0.5045172667016207
2015-09-01,0.54,0.22,-0.22475875193775918,11.158747107061773,1.11,-0.7180029556810963
2015-10-01,0.82,0.54,0.09894820166906904,-0.6737318920078672,1.11,0.36997944096479607
2015-11-01,1.01,0.82,0.11946174910508756,-2.6720207552750286,1.11,-1.0183501751178214
2015-12-01,0.96,1.01,-0.10755534268560574,2.5070135427454066,1.06,-0.21120010584603222
2016-01-01,1.27,0.96,-0.04584435630738959,4.681148359067699,1.16,-0.47012992952508714
2016-02-01,0.9,1.27,-0.13296753235823022,-1.9398101036890214,1.06,-0.1434262074849868
2016-03-01,0.43,0.9,0.31347962382444194,-6.790171991473681,1.0,-0.7085039684876726
2016-04-01,0.61,0.43,0.38306451612901693,-3.7277600378959774,1.16,-0.0553372724910961
2016-05-01,0.78,0.61,0.23640958693178504,-0.7446909164454563,1.06,-0.2419341630224503
2016-06-01,0.35,0.78,0.2775957287827202,-3.243961020876207,1.11,0.16847889242959102
2016-07-01,0.52,0.35,-0.05037007434789409,-4.348418581911417,1.16,-0.32820636609872667
2016-08-01,0.44,0.52,0.18492217858316895,-2.012042611500797,1.11,-0.26564436778840905
2016-09-01,0.08,0.44,0.26232097944252075,1.4553113523341876,1.22,0.16665062438041556
2016-10-01,0.26,0.08,0.23426874979268764,-2.165798039886624,1.11,-0.5293056549627084
2016-11-01,0.18,0.26,0.11789477167711837,4.902467006398603,1.05,0.06425999723831399
2016-12-01,0.3,0.18,0.2524522158776188,0.3063461973166648,1.04,-0.27429344630675034
2017-01-01,0.38,0.3,0.4043076694815628,-4.643396126638821,1.12,0.5912204999513726
2017-02-01,0.33,0.38,0.15926573570097524,-2.8910211989156442,1.09,1.1884659135797726
2017-03-01,0.25,0.33,-0.04672016261895173,0.7646425107372012,0.87,0.09117353821883611
2017-04-01,0.14,0.25,0.12341528217407749,0.2634901130780909,1.05,-0.1366251619028147
2017-05-01,0.31,0.14,-0.07739779600562935,2.33841968777162,0.79,-0.23839976223529735
2017-06-01,-0.23,0.31,0.0651628661825221,2.6750999397623154,0.93,0.6404241612515404
2017-07-01,0.24,-0.23,0.03276499715354486,-2.707697821038757,0.81,0.04942105781937656
2017-08-01,0.19,0.24,0.38486261632881824,-1.7223432769712388,0.8,-0.27553802883150125
2017-09-01,0.16,0.19,0.5106389920997767,-0.5118316128774336,0.8,0.001458099760021092
2017-10-01,0.42,0.16,0.07750522450138408,1.8003940113555217,0.64,0.21578505218071697
2017-11-01,0.28,0.42,0.2668007428251684,2.1355859364508234,0.64,0.19519376729453253
2017-12-01,0.44,0.28,0.21068892447551058,0.9981959759218118,0.57,1.335925655614667
2018-01-01,0.29,0.44,0.42533443635115464,-2.4698666001676695,0.54,-0.5102588083764292
2018-02-01,0.32,0.29,0.26922876006090224,0.9621510503529551,0.58,-0.391503545407923
2018-03-01,0.09,0.32,0.0192362410782021,1.1634825147087913,0.47,0.026383742417546152
2018-04-01,0.22,0.09,0.2604406656061986,3.9119417398186362,0.53,0.5701700998735237
2018-05-01,0.4,0.22,0.2257949781598212,6.707622132721425,0.52,-3.0729517335395418
2018-06-01,1.26,0.4,0.09011451720948305,3.770960695258574,0.52,2.9013250940635116
2018-07-01,0.33,1.26,0.07808204989283585,1.4733549440995253,0.52,0.32622270594833136
2018-08-01,-0.09,0.33,0.17873207703393845,2.6377414478218286,0.54,0.7690093739867176
2018-09-01,0.48,-0.09,0.2062281702117419,4.7532422339299885,0.57,-0.5385824679677187
2018-10-01,0.45,0.48,0.2339580144498754,-8.69996736243872,0.47,0.32925716227538704
2018-11-01,-0.21,0.45,-0.07041919199911595,0.7518050432363754,0.54,0.29455463659844305
2018-12-01,0.15,-0.21,0.06848935445813442,2.5983286084192647,0.49,0.2841321352216708
2019-01-01,0.32,0.15,-0.08149798035343991,-3.6903771457078793,0.49,-0.2218944578977311
2019-02-01,0.43,0.32,0.3001255142321968,-0.4825856141501883,0.54,-0.5708850678370903
2019-03-01,0.75,0.43,0.37817929172307974,3.2994517580668514,0.49,-0.6192589288261496
2019-04-01,0.57,0.75,0.3759679404743643,1.291385317399496,0.47,-0.020188456211511774
2019-05-01,0.13,0.57,0.02468332856644384,2.7042297088606393,0.52,1.3878659792156745
2019-06-01,0.01,0.13,-0.03251128102280676,-3.5659432131799673,0.54,-0.5253469746079653
2019-07-01,0.19,0.01,0.23078761661827762,-2.059879840392065,0.47,-0.21000630453709146
2019-08-01,0.11,0.19,0.09147700174354512,6.3673218899345185,0.57,0.23616556341954364
2019-09-01,-0.04,0.11,0.1538846099767177,2.525339327631526,0.5,0.3339615898633408
2019-10-01,0.1,-0.04,0.2827282299262768,-0.8373903549256712,0.46,1.1715560758070342
2019-11-01,0.51,0.1,0.281542260504386,1.6725779701640464,0.48,-0.16371274444122452
